,Latitude,Longitude,Position time,velocity
1,43.07697,5.97261,09:54:13,0.09694471179470329
2,43.07694,5.9724,09:59:13,0.05794996924668153
3,43.07684,5.97225,10:04:16,0.054454748495703656
4,43.07719,5.97182,10:09:37,0.1629523916865855
5,43.07721,5.97152,10:14:16,0.08772447441069087
6,43.0773,5.97118,10:19:16,0.09793870833742493
7,43.07735,5.97073,10:24:19,0.12205027692469886
8,43.07739,5.97047,10:29:19,0.07195795424546923
9,43.07746,5.9701,10:34:22,0.10248483482182302
10,43.07753,5.96972,10:39:22,0.106133421678193
11,43.07762,5.96931,10:44:24,0.11517351250879986
12,43.07768,5.9689,10:49:27,0.11212083073131529
13,43.07777,5.96852,10:54:29,0.10746911920868717
14,43.07783,5.96809,10:59:24,0.120566805123554
15,43.07788,5.96766,11:04:26,0.11713689189499052
16,43.07791,5.96721,11:09:57,0.11091323136402427
17,43.07794,5.96684,11:14:28,0.11160637574198169
18,43.078,5.96646,11:19:23,0.10707190632716704
19,43.07804,5.96613,11:24:24,0.09029070380587526
20,43.07808,5.96581,11:29:22,0.08851118009972073
21,43.07813,5.96549,11:34:23,0.0883274153163935
22,43.07822,5.96513,11:39:21,0.10373775712978098
23,43.07834,5.96474,11:44:22,0.11422596087753273
24,43.07848,5.96433,11:49:20,0.1233906824388832
25,43.07862,5.96388,11:54:21,0.13202043806584496
26,43.07877,5.96343,11:59:23,0.13306947206430067
27,43.07893,5.96296,12:04:25,0.13949755880985584
28,43.079,5.96246,12:09:57,0.1245822922533468
29,43.07924,5.96204,12:14:23,0.1628718530222153
30,43.07941,5.96156,12:19:25,0.14350781692765474
31,43.07945,5.96111,12:24:27,0.12195076784902922
32,43.07972,5.96066,12:29:25,0.15876800347962483
33,43.07982,5.96023,12:34:27,0.12139856187302368
34,43.07989,5.95983,12:39:27,0.11138917478172947
